,title,link,views,time,duration,img
0,Explore GeeksforGeeks Hiring Solutions | For Top Tech Companies | Innovative Hiring Solutions,/watch?v=GDeoPHRqb5w,476 views,3 days ago,2:51,https://i.ytimg.com/vi/GDeoPHRqb5w/hqdefault.jpg
1,Geek-O-Lympics 2023 | GeeksforGeeks,/watch?v=hLqJiIu6LzY,1.7K views,10 days ago,0:46,https://i.ytimg.com/vi/hLqJiIu6LzY/hqdefault.jpg
2,Web 3.0 Explained | GeeksforGeeks,/watch?v=zEPRJMk3p90,1.3K views,2 weeks ago,17:0,https://i.ytimg.com/vi/zEPRJMk3p90/hqdefault.jpg
3,Geek-O-Lympics 2023 | 1st - 31st July | GeeksforGeeks,/watch?v=GSqepfZLKU0,1.1K views,2 weeks ago,0:10,https://i.ytimg.com/vi/GSqepfZLKU0/hqdefault.jpg
4,What Is Web Scraping & What It Is Used For | How To Use Web Scraping | GeeksforGeeks,/watch?v=MK15a0ipg-E,977 views,2 weeks ago,2:47,https://i.ytimg.com/vi/MK15a0ipg-E/hqdefault.jpg
5,Mega Job-A-Thon | Hire Top Talent for Your Company | GeeksforGeeks,/watch?v=cWPqVVobUuA,993 views,2 weeks ago,0:56,https://i.ytimg.com/vi/cWPqVVobUuA/hqdefault.jpg
6,DSA To Development: A Complete Coding Guide | Complete Coding Program By GeeksforGeeks,/watch?v=phr8lXH2Ee0,22K views,3 weeks ago,0:43,https://i.ytimg.com/vi/phr8lXH2Ee0/hqdefault.jpg
7,What is Queue (Updated) | Queues Explained | GeeksforGeeks,/watch?v=ypJwoz_SXTo,819 views,3 weeks ago,8:50,https://i.ytimg.com/vi/ypJwoz_SXTo/hqdefault.jpg
8,Queue Practice Questions (Updated) | DSA Concepts | GeeksforGeeks,/watch?v=KG4dbF5xRig,961 views,4 weeks ago,12:1,https://i.ytimg.com/vi/KG4dbF5xRig/hqdefault.jpg
9,Free Summer Offline Classes on Python Programing | For Students Aged 14-21 | GeeksforGeeks,/watch?v=OOLXHwZzHfM,62K views,1 month ago,0:37,https://i.ytimg.com/vi/OOLXHwZzHfM/hqdefault.jpg
10,Python Libraries | Data Science | GeeksforGeeks,/watch?v=nDa75spDmeE,1.1K views,1 month ago,1:26,https://i.ytimg.com/vi/nDa75spDmeE/hqdefault.jpg
11,ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,/watch?v=SWa-tsbaIpg,897 views,1 month ago,5:40,https://i.ytimg.com/vi/SWa-tsbaIpg/hqdefault.jpg
12,Full Stack Development | LIVE Classes | GeeksforGeeks,/watch?v=cBfC9HLR9Qk,43K views,1 month ago,0:35,https://i.ytimg.com/vi/cBfC9HLR9Qk/hqdefault.jpg
13,GeeksforGeeks Classroom Program in NCR,/watch?v=uEhnTpHY26o,2.3K views,1 month ago,0:37,https://i.ytimg.com/vi/uEhnTpHY26o/hqdefault.jpg
14,What is Arrays | Arrays Explained | New Video - GeeksforGeeks,/watch?v=3_x_Fb31NLE,2.1K views,1 month ago,9:48,https://i.ytimg.com/vi/3_x_Fb31NLE/hqdefault.jpg
15,Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,/watch?v=J7EhXvnixRM,2.3K views,1 month ago,10:4,https://i.ytimg.com/vi/J7EhXvnixRM/hqdefault.jpg
16,Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,/watch?v=G-3vZKPEtKw,16K views,1 month ago,0:52,https://i.ytimg.com/vi/G-3vZKPEtKw/hqdefault.jpg
17,Get Started with CP | Competitive Programming Tips | GeeksforGeeks,/watch?v=FCEj-mreXvI,2.1K views,1 month ago,1:39,https://i.ytimg.com/vi/FCEj-mreXvI/hqdefault.jpg
18,React VS Angular VS Vue | GeeksforGeeks,/watch?v=sA2vgFR-fZc,2.3K views,2 months ago,1:35,https://i.ytimg.com/vi/sA2vgFR-fZc/hqdefault.jpg
19,GeeksforGeeks Classroom Program | Offline Classes in Noida,/watch?v=16D2cuRy5JY,54K views,2 months ago,0:38,https://i.ytimg.com/vi/16D2cuRy5JY/hqdefault.jpg
20,Transformers in NLP | GeeksforGeeks,/watch?v=-eqjV5dwb9Q,1.6K views,2 months ago,28:4,https://i.ytimg.com/vi/-eqjV5dwb9Q/hqdefault.jpg
21,Jobs that AI can't replace | GeeksforGeeks,/watch?v=uY05MFnSMwU,2.7K views,2 months ago,3:17,https://i.ytimg.com/vi/uY05MFnSMwU/hqdefault.jpg
22,Job Fair for Students | Till 25th May Only | GeeksforGeeks,/watch?v=1GEegOb3fHE,82K views,2 months ago,0:39,https://i.ytimg.com/vi/1GEegOb3fHE/hqdefault.jpg
23,"Flutter: ""Pros and Cons"" | GeeksforGeeks",/watch?v=0gnaXUiSELY,2.1K views,2 months ago,8:44,https://i.ytimg.com/vi/0gnaXUiSELY/hqdefault.jpg
